year_start,year_end,location_abbr,location_desc,data_source,question,response,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,stratification_category1,stratification_value,stratification_category2,stratification2,stratification_category3,stratification3,geolocation,location_id,topic_id,question_id,response_id,data_value_type_id,stratification_category_id1,stratification_category_id2,stratification_id2,stratification_category_id3,stratification_id3
2016,2020,DC,District of Columbia,US Cancer DVT,"Cervical cancer mortality among all females, underlying cause",,Number,Number,0.0,0.0,~,Data suppressed; too few respondents or cases,0.0,0.0,Sex,Male,,,,,POINT (-77.036871 38.907192),11,CAN,CAN03,,NMBR,SEX,,,,
2016,2020,DC,District of Columbia,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,1479.0,1479.0,,,0.0,0.0,Sex,Female,,,,,POINT (-77.036871 38.907192),11,CAN,CAN07,,NMBR,SEX,,,,
2016,2020,FL,Florida,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,0.0,0.0,~,Data suppressed; too few respondents or cases,0.0,0.0,Sex,Male,,,,,POINT (-81.92896053899966 28.932040377000476),12,CAN,CAN02,,AGEADJRATE,SEX,,,,
2016,2020,HI,Hawaii,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,3644.0,3644.0,,,0.0,0.0,Sex,Female,,,,,POINT (-157.85774940299973 21.304850435000446),15,CAN,CAN07,,NMBR,SEX,,,,
2016,2020,IL,Illinois,US Cancer DVT,"Prostate cancer mortality among all males, underlying cause",,Number,Number,1231.0,1231.0,,,0.0,0.0,Sex,Male,,,,,POINT (-88.99771017799969 40.48501028300046),17,CAN,CAN05,,NMBR,SEX,,,,
2016,2020,IL,Illinois,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,560.6,560.6,,,558.0,563.2,Sex,Male,,,,,POINT (-88.99771017799969 40.48501028300046),17,CAN,CAN07,,CRDRATE,SEX,,,,
2016,2020,IA,Iowa,US Cancer DVT,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,185.3,185.3,,,182.5,188.1,Sex,Male,,,,,POINT (-93.81649055599968 42.46940091300047),19,CAN,CAN08,,AGEADJRATE,SEX,,,,
2016,2020,KS,Kansas,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,19.8,19.8,,,18.9,20.8,Overall,Overall,,,,,POINT (-98.20078122699965 38.34774030000045),20,CAN,CAN02,,AGEADJRATE,OVERALL,,,,
2016,2020,KS,Kansas,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,14.6,14.6,,,11.2,18.6,Race/Ethnicity,Hispanic,,,,,POINT (-98.20078122699965 38.34774030000045),20,CAN,CAN02,,AGEADJRATE,RACE,,,,
2016,2020,ME,Maine,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,4764.0,4764.0,,,0.0,0.0,Sex,Male,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN07,,NMBR,SEX,,,,
2016,2020,MA,Massachusetts,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,428.3,428.3,,,425.5,431.1,Sex,Female,,,,,POINT (-72.08269067499964 42.27687047000046),25,CAN,CAN07,,AGEADJRATE,SEX,,,,
